Warrior,Warrior,Warrior是一个英文单词，意思是战士，勇士；鼓吹战争的人。
米卡,米卡,米卡（Mika，英语：Mica"Mika"Penniman），全名米卡·彭尼曼，1983年8月18日黎巴嫩出生，来自伦敦的唱作人。隶属环球唱片旗下的卡萨布兰卡唱片公司(CasablancaRecords)，他于2006年尾至2007年头间开始走红。
fairyland,fairyland,《fairyland》（梦游仙境）是日本歌手滨崎步第36张单曲，2005年08月03日于日本发售。
酷宝,酷宝,酷宝，酷宝汽车，华晨公司产出的汽车型号之一。
合美,合美,合美人才网是十堰地区专业为企（事）业单位及求职人员提供招聘、求职的网上人力资源服务网站。是实现企业人力资源战略和个人职业发展最理想的网络载体和交流平台
小林,小林,小林，日本著名动漫《龙珠》中的主要角色之一，与孙悟空一同在龟仙人（武天师父）门下习武，是最强的地球人（布欧篇的评价，此时欧布并未登场）。妻子是人造人18号，女儿是玛伦。
美遇,美遇,金科·帕提欧Ⅱ美遇项目位于昌平小汤山镇龙脉温泉度假中心旁，占地面积100000平方米，建筑面积130000平方米，容积率1.30%，绿化率40%，总户数1000户，项目落座于昌平区小汤山温泉资源核心地带，紧邻龙脉温泉度假中心、小汤山疗养院，为天赐汤泉养生之地。
锦上,锦上,锦上是指日本杰尼斯事务所锦户亮（関ジャニ∞，关8）和上田龙也（KAT-TUN）的CP。
JYJ,JYJ,JYJ是韩国C-jesEntertainment于2010年推出的创作型男子流行演唱团体，由原东方神起成员金在中、朴有天、金俊秀三人组成。2010年，4月东方神起正式停止活动，其中三位成员组成JYJ重新出发，但是却遭到韩国和日本原经纪公司联手封杀（详见：东方神起解约事件）。6月在日本巨蛋举行复出演唱会，四天共动员20多万名观众。9月发行日语迷你专辑《The...》和DVD与BD双辑《ThanksgivingLiveinDome》，作为首位海外歌手夺得日本公信榜专辑和DVD周榜双冠纪录。10月发行第一张英文专辑《TheBeginning》，取得30万销量的成绩 。同时举行世界巡回演唱会。2011年，1月15日发行音乐随笔《TheirRooms》。9月发行首张韩文正规专辑《InHeaven》 。同年举行世界巡回演唱会，成为首位把演唱会开到南美、德国、西班牙的韩国歌手 。2012年，发行记录片《TheDay》 。同时该年起每年举办大型免费粉丝博览会“JYJMembershipWeek” 。2013年，担任第17届仁川亚运会宣传大使，并且演唱主题曲《OnlyOne》 。2014年，7月发行第二张正规专辑《JUSTUS》，并且进行亚洲巡回演唱会以及日本巨蛋巡回演唱会 。2015年，1月时隔5年发行首张日本单曲《WakeMeTonight》 。同年因成员相继入伍中断组合活动。
朗森,朗森,朗森lonsan是森松尼公司旗下的一个知名电脑外设品牌，依托公司强大的研发和生产能力，已经形成产品设计、营销、生产、售后服务的商业运行模式，得到广大消费者和经销商的认可与信赖。
金乌炭雕,金乌炭雕,会吸毒的艺术品－金乌炭雕，是长沙文象环保科技有限公司出品的艺术品。采用极品活性炭由国际专利独有技术成型，用中国传统手工工艺雕刻而成，既保证了活性炭高吸附作用的优点，又克服了传统状态活性炭不便使用不易存放的限制，集工艺品的欣赏性、收藏性与活性炭强吸附的实用性于一身。置于室内、车内，既高贵、典雅、生动、时尚，又可长效强势吸附甲醛、苯、氨、氡等有毒有害气体，使用寿命长达20年。
LEC,LEC,LEC是LEGALENGLISHCERTIFICATE的简称，意为法律英语证书。法律英语证书由全国统一考试委员会依托中国政法大学和北京外国语大学具体组织考试工作，旨在为从事涉外业务的企业、律师事务所提供招募国际性人才的客观标准，同时督促国内法律从业人员提高专业英语水平。
WANLANG,wanlang,
云图,云图,《云图》是由华纳兄弟影片公司制作的剧情片，由沃卓斯基姐弟与汤姆·提克威联合执导，汤姆·汉克斯、哈利·贝瑞等好莱坞影星主演，2013年1月31日在中国内地上映。该片改编自大卫·米切尔的同名小说，由看似独立却彼此相互间存在着某种神秘的联系的六个故事组成。
恒曼,恒曼,恒曼光电成立于2009年，成立至今，企业加快人才引进，注重产品研发，通过内延外拓，迅速扩大产品市场，除国内市场外，产品还销往日本、中东、欧美等地。
KJ,KJ,
蓝帆,蓝帆,蓝帆，原名刘燕，黑龙江哈尔滨人。1997年毕业于辽宁大学中文系新闻专业。1976年参加工作，历任沈阳人民广播电台播音员、编采员，辽宁日报社专题部记者，主任记者。辽宁省新诗学会理事、省传记文学学会理事、省儿童文学学会理事。1992年加入中国作家协会。
艾欧唯,艾欧唯,
仙缘,仙缘,仙缘（xiānyuán）是一个汉语词语，指道家谓修道成仙的缘分，出自宋朝孔道的《访奇道仙》。
康铭,康铭,深圳市康铭盛实业有限公司坐落于风景秀丽的深圳市宝安区观兰富康工业区。
斐格,斐格,斐格专为21世纪旅行者设计的MCM将精巧的设计和耐用材料合二为一，到采用强烈色彩且效果出众的款式。该品牌旗下拥有众多精致手包，实用且潮流的行李包，功能商务包，柔软和时尚的小型皮具等产品，所有这些均采用诸如真皮，织物和样式独具一格的皮革制造
Candy,candy,Candy是一家意大利的企业，是国际专业电器制造商。公司成立于1945年，1954年，首台欧洲脱水半自动洗衣机在Candy诞生。Candy集团的产品涵盖了家用电器领域的绝大部分，涉及产品有洗衣机、洗干衣机、洗碗机、滚筒干衣机、冰箱、冰柜、厨房电器及吸尘清洁设备等。
GW,gw,gw是gigawatt的缩写，常用来表示发电装机容量。
帝舜,舜,舜（shùn，约公元前2277-约公元前2178），妫姓，有虞氏，名重华，字都君，谥曰“舜”，是中国上古时代父系氏族社会后期部落联盟首领，出生于诸冯 （今山东诸城） ，治都蒲阪（今山西永济市） ，被后世尊为帝，列入“五帝”，史称帝舜、虞舜、舜帝，故后世以舜称之。 虞舜的王位是唐尧禅让的，人们世代尊称尧和舜为上古先王，尧禅让王位给虞舜传了四个字，即允执厥中；舜禅让王位给大禹传了十六字心传，即中华心法：“人心惟危，道心惟微，惟精惟一，允执厥中。”中华心法成为了中华民族的至高文化理论。《竹书记年》并不记载为禅让。三皇五帝之一。舜，为四部落联盟首领，以受尧的“禅让”而称帝于天下，其国号为“有虞”，故号为“有虞氏帝舜”，后世以舜简称之，中华民族的共同始祖。他不仅是中华道德的创始人之一，而且是华夏文明的重要奠基人。
微美,微美,发现美，定制美，分享美。微美是我国美容健康服务预约平台。通过微美，你可以就近搜索优质的美容健康服务商，涵盖美容、化妆、纹绣、养生、按摩等领域。官方网站为：webeauty.cc
太阳海,太阳海,太阳海项目位于旅顺口区革新街57-97号（太阳沟五十六中学后），项目占地面积74169平米，总建面积为89003平米，容积率1.20%，绿化率35%，可容纳总户数842户。规划有12栋10-24层低密度小高层和高层住宅。面积区间为50.67-143.59平米。
风沙渡,风沙渡,“风沙渡”是江苏宜兴宜兴阳羡路上的一家小吃店。2011年6月红遍全国，这都要归功于一篇今年江苏高考的满分作文《拒绝平庸》。
盖锐,盖锐,盖锐女，1956年9月生，黑龙江佳木斯人，研究生，中共佳木斯市委党校经济学教研室副主任，副教授。哈尔滨师范大学研究生毕业。
蒙特,munto,《MUNTO》（也有中文翻译为《仰望天空的少女眼中的世界》）是京都动画于2003年推出的一部奇幻风格的OVA。作为京都动画的首部原创作品，《MUNTO》第一部就因宏大的世界观和细腻的镜头表现赢得了赞誉，尽管在商业上并不是特别成功，但其制作水准足以令同时期多数OVA相形见绌。2005年，京都动画带来了《MUNTO》的第二部《MUNTO～穿越时空之壁》。《穿越时空之壁》延续前作的剧情，更加入了天上界的势力斗争，气势宏大的魔神大战也是不容错过的卖点。制作班底依然是前作的原班人马。2009年，原定制作的《MUNTO》第三部改为TV动画，共9集。前6集是前两部OVA的重复，后3集是新的内容。并制作了最终剧场版，作为整部动画的结尾。新作剧场版命名为《天上人和アクト人（最后的战役天上人和亚克托人最后的战斗）》，2009年4月18日至5月1日在日本上映。
SHANK,闪克,《闪克》（《Shank》）是由KleiEntertainment公司所制作的2D漫画风格的横版过关游戏，家用机版已于2010年8月份发售。shank原本曾是美国某地一名被称为凯撒的大毒枭手下的暗杀集团中的一员，集团的其他成员则包括猎鹰（双人模式的2P）、屠夫、凯珊德拉（太刀女）、“神父”安吉拉以及独眼穆迪。在常年的黑道生涯中，暗杀集团为凯撒除掉了一个又一个竞争对手，后者的生意自然也是越做越大。
通士达,通士达,厦门通士达照明有限公司是厦门通士达有限公司与美国GE公司合资国有控股公司，专业从事电子节能灯、荧光灯、荧光粉、照明灯具和LED新光源产品的研究、开发与制造。是“全国重合同守信用单位”、“福建省百家重点企业”和“厦门市重点高新技术企业”。企业同时通过ISO9001、ISO14001、OHSAS18001三个国际管理体系认证，产品获得“中国名牌产品”和“国家免检产品”称号。
BTN,BTN,BTNl是Flash中按钮实例（Button）的注释名。
玛雅拼图,玛雅拼图,《玛雅拼图》是一款益智类网页游戏。
鲸彩,鲸彩,鲸彩，是一款大小为4.7MB的软件，官方版MTC认证，是山东广播经济频道的手机客户端，广播界首款智能手机社交互动广播客户端。
菲翔,菲翔,菲翔是菲亚特重返中国市场之后推出的第一款合资车型，定位于紧凑级车。自动挡全系标配ESP车身稳定系统，菲翔外形采用意大利运动设计，为迎合中国人审美，采用大量镀铬件装饰。
沃尔芬,沃尔芬,沃尔芬始创于2016年6月，是一个互联网家装品牌，该品牌由线上、线下、家装设计施工三个板块组成，采用工厂直供和线上线下结合双模式运营理念，致力于向消费者提供整体家装的解决方案 。
德勒,德勒,德勒是彝族专有姓氏，彝族共祖“笃米”（居木乌乌，阿普笃慕）之第五子第七世孙阿德布后裔。世居云南、贵州、四川三省。
