Hodo,HODO,《HODO》是一款Android平台的应用。
布景,布景,布景décor戏剧演出视觉形象中构成景物环境的实体部分。源于拉丁语装饰之意。曾称舞台装饰。布景艺术创造的艺术形象，由设计者根据剧情的要求进行构思和设计，用舞台技术的方法造型和塑形，使其体现在演出中，与灯光、化妆、服装等共同综合塑造演出外部形象，帮助演员表演，示剧本内涵。
迷鹿缘,迷鹿缘,迷鹿缘是鹿缘绒毛制品有限公司旗下的子公司。公司在1997年成立于内蒙古，100多占地面积亩，拥有物流、仓库等大型建筑。该公司的主导产品是驼绒裤、羊毛裤、羊绒裤等保暖衣相关领域。2006年步入网络营销领域，2009年入驻淘宝，成为淘宝保暖衣行业的有力竞争品牌。公司现拥有员工400多人，拥有一流的产品研发队伍、一流的实战派的职业营销队伍和高素质的管理队伍，在保障丰富的产品线、提供全方位的终端营销支持，集研发、物流、培训于一身。
德玛纳,德玛纳,德？玛纳是宁波博洋集团继推出唐狮、艾夫斯、33layer后又一新进力推的强势品牌，并与集团旗下的涉趣休闲鞋、华尔思丹休闲服等共同组成了集团服饰公司的六大品牌。销售网络遍及北京、杭州、武汉、重庆、西安、大连、金华、南京、苏州、无锡、常州、合肥、南昌、沈阳、长沙等全国各大中城市，并在持续扩展中。
吉蒂猫,吉蒂猫,HelloKitty可爱、漂亮的小女生性格：开朗活泼，温柔热心，调皮可爱，喜欢交朋友
wakeup,wakeup,Wakeup眼镜属于木九十品牌旗下的潮流眼镜，在它身上你可以找到当下流行的各种元素。Wakeup的设计师也来自世界各地，包括：美国、日本、中国、法国等独立设计师，同时Wakeup也积极地与全世界的插画、涂鸦、设计大师合作。在Wakeup的眼镜系列当中，极限、电子乐、摇滚、hip-hop是必不可少的设计元素，潮人们绝对可以找到属于你自己心动的一款镜框，也许在不经意间，你的身上就能找到最新的潮流趋势。
遇见,遇见,遇见，是郭敬明小说《夏至未至》中的角色，电视剧中由夏梓桐饰演。她是个孤儿，是被视作“问题学生”的女孩，但却拥有着世界上最好听的嗓音和最特别的名字。尽管命运不公，但她依旧努力的在这个世界上寻求一方天地。
阿宁,阿宁,阿宁，《盗墓笔记》中鲜少的女性角色。阿宁有一张俏脸，很漂亮，很艳丽，而且还有个好身材，凹凸有致。偶尔随意的话语、眼神、举动倒也是风情万种，只是平时咄咄逼人的气势更多一些。但是小说将其设定为一个干练坚韧，美艳而狡猾的形象。阿宁隶属于骗走吴邪爷爷战国帛书的国际打捞公司，非常忠于老板裘德考，手下有一帮美国笨蛋，他们总是在行动中损伤大半。为了能在国内探险中取得吴家帮助，并且调查吴三省宅邸下隐藏的秘密，她接近吴邪并进行一系列活动。在小说第四部《盗墓笔记·蛇沼鬼城》，于西王母国遗迹中被鸡冠蛇咬死。 
时间灰烬,时间灰烬,孤女沪妮有着令人同情的身世：幼失双亲，身世可疑，寄人篱下，读大学后陷入一场师生恋而被学校开除，导致终生不育。被学校和情人拒绝的沪妮以弱者的身份投身社会，与“漂亮宝贝”夏小言和表妹涟青一起，三个没有文凭、缺乏背景的女孩，面对强大的城市，赤手空拳打天下，梦想过上美好体面的生活。几经挣扎，似乎也触到了“幸福”的边儿……
PALLADIUM,Palladium,Palladium在法语的发音中是“守护神”的意思，品牌诞生地是法国的里昂。1920年做战斗机轮胎起家，直至1947年开始涉足军靴领域。 
Yb,Yb,Yb有多种含义，如化学元素镱，计算机硬盘容量单位，中华人民共和国黑色冶金行业标准，QQ宠物中翻译等。
优胜者,优胜者,优胜者，系鲜食菜用品种，植株生长势中等，株高38厘米，开展度44×46厘米左右，分枝性强，结荚多。嫩荚近圆棍形，荚先端弯曲，浅绿色，荚长14.8厘米，平均单荚重8.6克，荚肉厚，耐老，缝线处和荚肉纤维少，品质风味好。早熟，北京露地春播约60天始收嫩荚。抗菜豆普通烟草花叶病毒和白粉病。
鹭珂鸶,鹭珂鸶,鹭珂鸶国际集团是一家专业经营男士内衣、休闲服饰的综合性服饰公司。作为国际知名品牌，LOOKSEE（鹭珂鸶）创造性地提出“大内衣”的概念，现已拥有内衣营、运动营和家居营三大阵营产品，近700个时尚款，满足男性不同搭配的需要，是中国男士内衣时装化的倡导者。品牌创始人李志广总裁被誉为“中国男士内衣掌门人”、“男士内衣大王”等。
Barbie,芭比娃娃,芭比娃娃（Barbie）由RuthHandler发明，于1959年3月9日举办的美国国际玩具展览会（AmericanInternationalToyFair）上首次曝光，芭比娃娃是20世纪最广为人知及最畅销的玩偶，芭比娃娃及其它相关配件均以一比六的比例制作，为娃娃屋模型的最大号，也称为playscale。芭比玩偶版权现由美泰儿公司拥有及生产，已经销往世界上150多个国家，总销售额超过10亿元，并由此衍生出一系列影视作品、小游戏及周边产品。
含灵,含灵,含灵释义：内蕴灵性；指具有灵性的人类。
GODSON,Godson,Godson英文原义为“教子”，延伸为上帝之子、龙的传人之意
Skechers,斯凯奇,斯凯奇品牌1992年诞生在加州的一个小海滨城市，已从一个风格单一的小公司发展成为全球最受欢迎鞋类产品的品牌之一。斯凯奇公司屡获殊荣，现在在美国市场是仅次于耐克的第二大鞋类品牌，被《FootwearPlus》杂志评为“2009鞋类产品年度最佳公司”。 斯凯奇品牌系列能满足大多数消费者的需要，但也有一小部分消费者追求更具个性的效果。为了满足这部分消费者的需求，我们开发了几个品牌，完全不同于斯凯奇的传统风格。马克·纳森(MarkNason)融合了摇滚乐概念的高端男鞋，采用优良的意大利手工技艺和上乘皮革，打造出品质卓越、外观时尚的靴类、鞋类和凉鞋。最新推出的Shape-ups塑身鞋系列横扫了美国快速发展的塑身鞋市场，并占有了80%的市场份额，同时也被《FootwearPlus》杂志评为“2009年年度最佳新品”。2016年斯凯奇超过了阿迪达斯，成为美国第二大运动鞋品牌。
米尚,米尚,北京米尚优品科技有限公司为中国服装自主品牌先锋企业。米尚（misun）诞生于2009年，意喻对生活充满热情，拥有迷人魅力、充满阳光气息。米尚以运营管理规范和良好薪酬福利体系著称于业内。MISUN品牌是公司的旗帜品牌，开创了中国时尚羽绒服的先河，倡导简单生活的品牌概念，产品以其“版型考究、物超所值”的核心竞争力，赢得了客群的普遍尊敬和青睐，现已发展成为四季化、系列化的零售品牌，至2010年已在全国20多个省市开立百余家门店。2011年，米尚将在中国建立标准终端销售并致力于以电子商务及体验店铺为主的经营模式，实现品牌四季化经验，着力满足消费者追求时尚、自信的审美需求。
帕拉丁,帕拉丁,帕拉丁是郑州日产汽车有限公司生产的汽车品牌。该品牌旗下产品有2006款2.4两驱行政版、2006款2.4两驱舒适型、2006款2.4四驱豪华型等。
丹尼熊,丹尼熊,丹尼熊英文译名DANNYBEAR，是充满意大利式热情的设计路线，开辟出来充满了浪漫的意大利风情年轻系列品牌。
克林贝尔,克林贝尔,克林贝尔是一名后卫，现在效力于奥厄足球俱乐部。
探拓,探拓,探拓 （TECTOP）是宿州盈德服装有限公司 在中国商标局注册的品牌，商标注册号：18208607 。
菲妮迪,菲妮迪,菲妮迪国际时装有限公司坐落于杭州余杭经济开发区，隶属于华鼎集团控股有限公司，是集设计、生产和营销为一体的现代化时装公司。自公司成立起，本着与时俱进，不断创新的经营理念，全力推进国际化多品牌战略，并借鉴国际化的时尚理念和品牌管理模式进行运作，现今已拥有FINITY、&Eacute;LANIE、Dbni、MAXSTUDIO和RIVERSTONE五个知名服装品牌和BurlingtonHouse家纺品牌，以及有专卖店近300家的营销网络。公司的新品开发设计中心设在深圳，同步与设立在美国、法国、香港等地的公司互动，汲取最新资讯和设计信息，每季推出上千种服装款式以供选择，以时尚的姿态引领时装潮流。
自由兵,自由兵,自由兵独创了一套适合自身品牌的特色文化。户外、健康、生活是自由兵品牌追求的文化风格，高品位、高追求和强大的创新能力及生命力赋予了“自由兵”品牌核心价值，让每一位户外运动爱好者体验军旅生涯的同时，享受自由呼吸的畅快，淋漓尽致地体现了自由兵强调体验式的户外活动和不为运动所累的兵品态度。打造全球户外运动第一品牌，成为受人称重的民族品牌销售商；自由兵专往于户外用品行业！自由兵将矗立中国，放眼世界。成为全球户外运动第一品牌是我们为之奋斗的终生目标！自由兵将持续捕捉机会，不断扩大品牌战略，提升在世界户外用品行业的地位，为推动中国体育运动事业，以及民族使命和社会责任而贡献一份力量！自由兵起步于户外市场，创造了军品户外蓝海领域，品牌建设理论中有第一永远胜过更好之说，第一就意味着原创、意味着正宗，因此这也是自由兵存在的价值所在。创造了第一，更应该千方百计守住这个第一。自由兵今后所有经营活动都应该朝着这个目标前进，产品上不断开发新种类、新款式，丰富产品结构，满足玩家多种需求；质量上通过改善工艺、加强监督、提升标准等体现自由兵品牌个性，逐步成为玩家最值得信赖的好伙伴；营销上推广户外运动，掀起军品热潮提升自由兵品牌影响力。最终，让自由兵成为喜欢户外运动的朋友
飞鸟和新酒,飞鸟和新酒,
登喜路,登喜路,登喜路是权威男士的奢侈品牌，致力于挑战人们对奢华的定义，以及对国际奢侈品牌的定见。遍布全球的220余家精品店，以及位于伦敦、上海、香港和东京“AlfredDunhillHome”，其极致奢华的零售环境享誉国际，完美见证了AlfredDunhill不断挑战、超越自我的能力。AlfredDunhill只创造最精美的男士奢侈用品，集优雅、功能、创新于一身的完美产品。正是这一优秀的传承和个性——以及对文化、旅行和工艺的衷心欣赏，奠定了AlfredDunhill作为世界顶级男士奢侈品牌的地位。
沫恋,沫恋,《沫恋》是连载于晋江文学城网的小说，作者是寂之幻。
quasar,类星体,类星体是类似恒星天体的简称，又称为似星体、魁霎或类星射电源，与脉冲星、微波背景辐射和星际有机分子一道并称为20世纪60年代天文学“四大发现”。长期以来，它总是让天文学家感到困惑不解。类星体是人类观测到的非常遥远的天体，高红移的类星体距离地球可达到100亿光年以上。类星体是一种在极其遥远距离外观测到的高光度天体，80%以上的类星体是射电宁静的。类星体比星系小很多，但是释放的能量却是星系的千倍以上，类星体的超常亮度使其光能在100亿光年以外的距离处被观测到。据推测，在100亿年前，类星体数量更多。类星体是一类离地球最远、能量最高的活动星系核。类星体与脉冲星、微波背景辐射和星际有机分子一度被称为20世纪60年代天文学“四大发现”。
Polar Fire,Polar fire,Polarfire原意是是在极寒地方的一团火，创建者郝登云先生。
